full_name,full_name_underscores,genus_species,recombinant,id
Bartonella bovis 91-4,Bartonella_bovis_91-4,Bartonella bovis,FALSE,NZ_CM001844
Bartonella elizabethae NCTC12898,Bartonella_elizabethae_NCTC12898,Bartonella elizabethae,FALSE,NZ_LR134527
Bartonella gerbillinarum FN71,Bartonella_gerbillinarum_FN71,Bartonella gerbillinarum,TRUE,48C-1
Bartonella gerbillinarum OE1-2 A1,Bartonella_gerbillinarum_OE1-2_A1,Bartonella gerbillinarum,FALSE,35A-5
Bartonella gerbillinarum OE1-2 A2,Bartonella_gerbillinarum_OE1-2_A2,Bartonella gerbillinarum,FALSE,72A-8
Bartonella gerbillinarum OE1-2 B1,Bartonella_gerbillinarum_OE1-2_B1,Bartonella gerbillinarum,FALSE,B78-3
Bartonella gerbillinarum OE1-2 B2,Bartonella_gerbillinarum_OE1-2_B2,Bartonella gerbillinarum,FALSE,15B-1
Bartonella gerbillinarum OE1-2 B3,Bartonella_gerbillinarum_OE1-2_B3,Bartonella gerbillinarum,FALSE,90B-1
Bartonella gerbillinarum OE1-2 C,Bartonella_gerbillinarum_OE1-2_C,Bartonella gerbillinarum,FALSE,15A-1a
Bartonella gerbillinarum OE3-1 A,Bartonella_gerbillinarum_OE3-1_A,Bartonella gerbillinarum,FALSE,B65-5-1-
Bartonella gerbillinarum OE3-1 B1,Bartonella_gerbillinarum_OE3-1_B1,Bartonella gerbillinarum,FALSE,75A-2
Bartonella gerbillinarum OE3-1 B2,Bartonella_gerbillinarum_OE3-1_B2,Bartonella gerbillinarum,FALSE,60A-2
Bartonella gerbillinarum OE3-1 B3,Bartonella_gerbillinarum_OE3-1_B3,Bartonella gerbillinarum,FALSE,65A-1
Bartonella gerbillinarum OE3-1 B4,Bartonella_gerbillinarum_OE3-1_B4,Bartonella gerbillinarum,FALSE,B18-3
Bartonella gerbillinarum OE3-1 B5,Bartonella_gerbillinarum_OE3-1_B5,Bartonella gerbillinarum,FALSE,B52-1
