orthogroup	n
OG0000003	4
OG0000008	2
OG0000011	8
OG0000027	5
OG0000028	11
OG0000068	4
OG0000099	2
OG0000106	13
OG0000118	13
OG0000142	12
OG0000159	13
OG0000181	7
OG0000184	13
OG0000191	14
OG0000212	14
OG0000279	3
OG0000283	14
OG0000288	4
OG0000363	8
OG0000403	2
OG0000423	14
OG0000455	11
OG0000470	7
OG0000503	14
OG0000544	14
OG0000546	14
OG0000549	13
OG0000567	7
OG0000576	6
OG0000599	13
OG0000618	14
OG0000637	5
OG0000641	7
OG0000703	6
OG0000743	14
OG0000749	8
OG0000789	13
OG0000791	11
OG0000859	14
OG0000951	6
OG0000987	6
OG0000993	12
OG0001012	13
OG0001013	6
OG0001018	4
OG0001035	7
OG0001056	14
OG0001102	6
OG0001111	14
OG0001118	13
OG0001131	9
OG0001148	4
OG0001164	14
OG0001185	11
OG0001198	13
OG0001200	13
OG0001268	13
OG0001360	2
OG0001369	6
OG0001404	2
OG0001421	2
OG0001516	8
OG0001520	5
OG0001614	7
OG0001965	4
OG0002050	2
OG0002248	2
