orthogroup	n	avg_bp_length
OG0000000	100	647.841059602649
OG0000001	39	328.4942528735632
OG0000002	89	308.5833333333333
OG0000003	62	2345.328767123288
OG0000004	63	316.93333333333334
OG0000005	65	950.0981595092024
OG0000006	75	240.80281690140845
OG0000007	91	1026.74
OG0000008	58	2787.6875
OG0000009	43	645.1726618705036
OG0000010	39	594.8303571428571
OG0000011	74	396.1463414634146
OG0000012	35	228.43636363636364
OG0000013	33	216.13888888888889
OG0000014	53	3195.7128712871286
OG0000015	66	484.6774193548387
OG0000016	34	816.4756097560976
OG0000017	38	867.2884615384615
OG0000018	26	670.1684210526316
OG0000019	25	492.2857142857143
OG0000020	30	264.27
OG0000021	26	442.66265060240966
OG0000022	22	427.4025974025974
OG0000023	23	430.8
OG0000024	24	200.8181818181818
OG0000025	27	393.17857142857144
OG0000026	27	488.5833333333333
OG0000027	20	761.1111111111111
OG0000028	37	941.0506329113924
OG0000029	28	552.5526315789474
OG0000030	27	859.8
OG0000031	18	736.08
OG0000032	25	363.2916666666667
OG0000033	28	752.8815789473684
OG0000034	22	397.3235294117647
OG0000035	26	1700.837837837838
OG0000036	24	482.11764705882354
OG0000037	28	3761.095890410959
OG0000038	21	599.4
OG0000039	28	555
OG0000040	18	464.46774193548384
OG0000041	27	1619.375
OG0000042	23	273.1666666666667
OG0000043	21	1051.142857142857
OG0000044	20	997.5967741935484
OG0000045	24	199.52173913043478
OG0000046	17	1445.4
OG0000047	23	1632
OG0000048	18	1117.5
OG0000049	13	485.19642857142856
OG0000050	17	289
OG0000051	26	138.6086956521739
OG0000052	23	436.2692307692308
OG0000053	21	655.65
OG0000054	19	764.1063829787234
OG0000055	9	2142.1875
OG0000056	33	804.639344262295
OG0000057	14	1280
OG0000058	27	1623.8793103448277
OG0000059	8	216
OG0000061	17	1290.340909090909
OG0000062	14	2239.6046511627906
OG0000063	28	441.40384615384613
OG0000064	15	814.1162790697674
OG0000065	20	281.53846153846155
OG0000066	23	296.7551020408163
OG0000067	14	444.10714285714283
OG0000068	19	1104.6346153846155
OG0000069	4	1065.5217391304348
OG0000070	16	228.375
OG0000071	30	542.3888888888889
OG0000072	17	446.6727272727273
OG0000073	22	407.8775510204082
OG0000074	24	2802.2727272727275
OG0000075	18	966.9230769230769
OG0000076	14	1291.5
OG0000077	14	1078.05
OG0000078	22	318.8666666666667
OG0000079	27	1071.625
OG0000080	19	526.1111111111111
OG0000081	17	305.54347826086956
OG0000082	16	1349.0869565217392
OG0000083	13	302.04
OG0000084	14	930.7826086956521
OG0000085	15	366.25531914893617
OG0000086	28	584.7058823529412
OG0000087	14	1793.3181818181818
OG0000088	16	676.6744186046511
OG0000089	23	461.36170212765956
OG0000090	14	692.4285714285714
OG0000091	17	1183.4571428571428
OG0000092	18	1119.7857142857142
OG0000093	15	267.72972972972974
OG0000094	18	481.14285714285717
OG0000095	13	686.8571428571429
OG0000096	15	460.4634146341463
OG0000097	14	942.2368421052631
OG0000098	14	467.1219512195122
OG0000099	22	460.92857142857144
OG0000100	16	767.9285714285714
OG0000101	15	2113.153846153846
OG0000102	24	455.3333333333333
OG0000103	14	430.3695652173913
OG0000104	15	782.775
OG0000105	16	785.625
OG0000106	14	289.2631578947368
OG0000107	19	5193.976744186047
OG0000108	15	1213.8
OG0000109	12	2634.4285714285716
OG0000110	14	4645.5
OG0000111	14	595.1842105263158
OG0000112	14	1137
OG0000113	14	817.3421052631579
OG0000114	14	2211
OG0000115	14	1490.7631578947369
OG0000116	14	1314.5526315789473
OG0000117	14	1649.7631578947369
OG0000118	14	609
OG0000119	15	1215.3076923076924
OG0000120	14	1203
OG0000121	17	956.4615384615385
OG0000122	14	758.5263157894736
OG0000123	14	702
OG0000124	14	393.3157894736842
OG0000125	15	1567.6153846153845
OG0000126	14	729
OG0000127	14	1611.2368421052631
OG0000128	14	768.2368421052631
OG0000129	14	1316
OG0000130	13	1156.4166666666667
OG0000131	14	792
OG0000132	14	401.5263157894737
OG0000133	14	1581.923076923077
OG0000134	14	730.6153846153846
OG0000135	14	1099.0975609756097
OG0000136	17	796.0769230769231
OG0000137	14	312.7105263157895
OG0000138	14	323.2105263157895
OG0000139	17	144
OG0000140	19	478.6363636363636
OG0000141	8	329.0625
OG0000142	14	826.6578947368421
OG0000143	14	597
OG0000144	14	589.8947368421053
OG0000145	14	708
OG0000146	14	875.6842105263158
OG0000147	14	824.5263157894736
OG0000148	14	510.39473684210526
OG0000149	14	844.2631578947369
OG0000150	14	299.92105263157896
OG0000151	14	643.578947368421
OG0000152	14	590.921052631579
OG0000153	14	796.9736842105264
OG0000154	14	465
OG0000155	14	504.4736842105263
OG0000156	14	1228.1052631578948
OG0000157	14	1576.578947368421
OG0000158	14	323.92105263157896
OG0000159	14	3121.1052631578946
OG0000160	14	2490.5526315789475
OG0000161	14	999
OG0000162	14	1320
OG0000163	14	921
OG0000164	14	1406.1315789473683
OG0000165	14	785.5263157894736
OG0000166	14	1533
OG0000167	14	1964.4473684210527
OG0000168	14	1764.2368421052631
OG0000169	14	747.3947368421053
OG0000170	14	1173
OG0000171	14	1201.1052631578948
OG0000172	14	649.3421052631579
OG0000173	14	1099.7368421052631
OG0000174	14	661.578947368421
OG0000175	14	1784.921052631579
OG0000176	14	723
OG0000177	14	563.2105263157895
OG0000178	14	1893
OG0000179	14	1144.342105263158
OG0000180	14	906
OG0000181	14	915
OG0000182	14	1822.342105263158
OG0000183	14	849
OG0000184	14	866.8421052631579
OG0000185	14	760.8947368421053
OG0000186	14	930
OG0000187	14	528.6315789473684
OG0000188	14	1156.8947368421052
OG0000189	14	588
OG0000190	14	252
OG0000191	14	750.9473684210526
OG0000192	14	207.31578947368422
OG0000193	14	402
OG0000194	14	1084.578947368421
OG0000195	14	2415
OG0000196	14	909
OG0000197	14	831
OG0000198	14	867
OG0000199	14	906
OG0000200	14	357.1578947368421
OG0000201	14	1307.0526315789473
OG0000202	14	1701
OG0000203	14	648
OG0000204	14	1329
OG0000205	14	381
OG0000206	14	2287.4210526315787
OG0000207	14	479.6842105263158
OG0000208	14	697.7368421052631
OG0000209	14	994.8157894736842
OG0000210	14	1211.4473684210527
OG0000211	14	530.5263157894736
OG0000212	14	251.52631578947367
OG0000213	14	758.0526315789474
OG0000214	14	667.1052631578947
OG0000215	14	627.3157894736842
OG0000216	14	2688
OG0000217	14	267
OG0000218	14	1569.3157894736842
OG0000219	14	1122
OG0000220	14	1135.1842105263158
OG0000221	14	466.42105263157896
OG0000222	14	991.1052631578947
OG0000223	14	2019
OG0000224	14	667.6578947368421
OG0000225	14	634.3421052631579
OG0000226	14	819
OG0000227	14	1221
OG0000228	14	510.2368421052632
OG0000229	14	566.2105263157895
OG0000230	14	565.8157894736842
OG0000231	14	875.5263157894736
OG0000232	14	1368.4736842105262
OG0000233	14	999
OG0000234	14	991.8947368421053
OG0000235	14	582
OG0000236	14	1311
OG0000237	14	2199.157894736842
OG0000238	14	270
OG0000239	14	1629
OG0000240	14	406.57894736842104
OG0000241	14	1623.6315789473683
OG0000242	14	623.7631578947369
OG0000243	14	724.8157894736842
OG0000244	14	1269
OG0000245	14	414
OG0000246	14	1581.2368421052631
OG0000247	14	1023
OG0000248	14	483.39473684210526
OG0000249	14	1376.4473684210527
OG0000250	14	489.55263157894734
OG0000251	14	689.6052631578947
OG0000252	14	323.7631578947368
OG0000253	14	1936.1052631578948
OG0000254	14	732
OG0000255	14	564.1578947368421
OG0000256	14	774.7105263157895
OG0000257	14	939
OG0000258	14	1046.7631578947369
OG0000259	14	1468.1842105263158
OG0000260	14	1291.578947368421
OG0000261	14	759
OG0000262	14	846.2368421052631
OG0000263	14	611.5263157894736
OG0000264	14	2916
OG0000265	14	479.13157894736844
OG0000266	14	448.10526315789474
OG0000267	14	563.2105263157895
OG0000268	14	1332
OG0000269	14	771.1578947368421
OG0000270	14	244.81578947368422
OG0000271	14	1321.657894736842
OG0000272	14	1029.9473684210527
OG0000273	14	237
OG0000274	14	1845.4736842105262
OG0000275	14	1089.2368421052631
OG0000276	14	1156.0263157894738
OG0000277	14	1172.4473684210527
OG0000278	14	1290
OG0000279	14	1461.7105263157894
OG0000280	14	885
OG0000281	14	1005
OG0000282	14	1431
OG0000283	14	2557.7368421052633
OG0000284	14	412.57894736842104
OG0000285	14	1432.2631578947369
OG0000286	14	1284
OG0000287	14	900
OG0000288	14	743.6842105263158
OG0000289	14	1374
OG0000290	14	221.92105263157896
OG0000291	14	1128.3947368421052
OG0000292	14	3132.4736842105262
OG0000293	14	1665
OG0000294	14	482.13157894736844
OG0000295	14	270
OG0000296	14	736.2631578947369
OG0000297	14	1023.7105263157895
OG0000298	14	1143.7894736842106
OG0000299	14	1258.2631578947369
OG0000300	14	594.3947368421053
OG0000301	14	1237.7368421052631
OG0000302	14	1311
OG0000303	14	519.9473684210526
OG0000304	14	561
OG0000305	14	294
OG0000306	14	531
OG0000307	14	1827
OG0000308	14	1377.4736842105262
OG0000309	14	2025
OG0000310	14	1257
OG0000311	14	893.2105263157895
OG0000312	14	992.1315789473684
OG0000313	14	364.2631578947368
OG0000314	14	1385.842105263158
OG0000315	14	1553.5263157894738
OG0000316	14	1500
OG0000317	14	1287
OG0000318	14	1566.3947368421052
OG0000319	14	1047.4736842105262
OG0000320	14	852
OG0000321	14	885
OG0000322	14	1337.6052631578948
OG0000323	14	927.3157894736842
OG0000324	14	885.2368421052631
OG0000325	14	756.7105263157895
OG0000326	14	225
OG0000327	14	399
OG0000328	14	2147.4473684210525
OG0000329	14	975
OG0000330	14	867.1578947368421
OG0000331	14	1080
OG0000332	14	442.89473684210526
OG0000333	14	2729.3684210526317
OG0000334	14	954.3157894736842
OG0000335	14	1233.4736842105262
OG0000336	14	1352.2105263157894
OG0000337	14	787.421052631579
OG0000338	14	255.23684210526315
OG0000339	14	745.3421052631579
OG0000340	14	1257.078947368421
OG0000341	14	1358.921052631579
OG0000342	14	1773
OG0000343	14	671.8421052631579
OG0000344	14	1426.8157894736842
OG0000345	14	430.2631578947368
OG0000346	14	771.078947368421
OG0000347	14	231
OG0000348	14	567
OG0000349	14	495
OG0000350	14	943.578947368421
OG0000351	14	1695
OG0000352	14	1037.5263157894738
OG0000353	14	792
OG0000354	14	648.7105263157895
OG0000355	14	963
OG0000356	14	526.6578947368421
OG0000357	14	1275.7105263157894
OG0000358	14	1005.7105263157895
OG0000359	14	624
OG0000360	14	905.8421052631579
OG0000361	14	819
OG0000362	14	1089
OG0000363	14	1106.0526315789473
OG0000364	14	254.92105263157896
OG0000365	14	1915.8947368421052
OG0000366	14	1420.2631578947369
OG0000367	14	545.0526315789474
OG0000368	14	936.3157894736842
OG0000369	14	1054.1052631578948
OG0000370	14	468
OG0000371	14	585
OG0000372	14	2888.684210526316
OG0000373	14	696
OG0000374	14	1084.7368421052631
OG0000375	14	502.7368421052632
OG0000376	14	636.6315789473684
OG0000377	14	2668.4210526315787
OG0000378	14	603
OG0000379	14	2094.315789473684
OG0000380	14	438
OG0000381	14	411
OG0000382	14	375.7894736842105
OG0000383	14	838.8947368421053
OG0000384	14	218.05263157894737
OG0000385	14	668.7631578947369
OG0000386	14	1417.421052631579
OG0000387	14	774.8684210526316
OG0000388	14	480
OG0000389	14	1977.5526315789473
OG0000390	14	1514.921052631579
OG0000391	14	687
OG0000392	14	1383
OG0000393	14	2628
OG0000394	14	832.7368421052631
OG0000395	14	760.7368421052631
OG0000396	14	606
OG0000397	14	198
OG0000398	14	951
OG0000399	14	1826.6052631578948
OG0000400	14	1210.1052631578948
OG0000401	14	802.578947368421
OG0000402	14	1089.7105263157894
OG0000403	14	905.2105263157895
OG0000404	14	2196.6315789473683
OG0000405	14	791.5263157894736
OG0000406	14	2093.0526315789475
OG0000407	14	885
OG0000408	14	683.2105263157895
OG0000409	14	399
OG0000410	14	2224.815789473684
OG0000411	14	582
OG0000412	14	592.8157894736842
OG0000413	14	402
OG0000414	14	816.5526315789474
OG0000415	14	708
OG0000416	14	906
OG0000417	14	747
OG0000418	14	860.5263157894736
OG0000419	14	618.2368421052631
OG0000420	14	1329
OG0000421	14	1508.3684210526317
OG0000422	14	699
OG0000423	14	841.421052631579
OG0000424	14	750.2368421052631
OG0000425	14	1490.1315789473683
OG0000426	14	582
OG0000427	14	1396.1052631578948
OG0000428	14	597.1578947368421
OG0000429	14	981.1578947368421
OG0000430	14	250.26315789473685
OG0000431	14	407.2894736842105
OG0000432	14	588
OG0000433	14	945
OG0000434	14	738
OG0000435	14	237
OG0000436	14	1066.8947368421052
OG0000437	14	683.3684210526316
OG0000438	14	831.7105263157895
OG0000439	14	1014.7894736842105
OG0000440	14	968.8421052631579
OG0000441	14	1093.342105263158
OG0000442	14	1190.7631578947369
OG0000443	14	447
OG0000444	14	1290
OG0000445	14	423
OG0000446	14	595.0263157894736
OG0000447	14	1986
OG0000448	14	862.1052631578947
OG0000449	14	311.2105263157895
OG0000450	14	1278
OG0000451	14	662.7631578947369
OG0000452	14	1176.3947368421052
OG0000453	14	453.63157894736844
OG0000454	14	387
OG0000455	14	861.4736842105264
OG0000456	14	1891.2631578947369
OG0000457	14	765
OG0000458	14	452.92105263157896
OG0000459	14	1629
OG0000460	14	844.1052631578947
OG0000461	14	1270.9736842105262
OG0000462	14	312.94736842105266
OG0000463	14	1041
OG0000464	14	1365
OG0000465	14	1335.6315789473683
OG0000466	14	1479.4736842105262
OG0000467	14	963
OG0000468	14	462
OG0000469	14	1080.8684210526317
OG0000470	14	439.42105263157896
OG0000471	14	1359
OG0000472	14	632.6842105263158
OG0000473	14	1275
OG0000474	14	2425.657894736842
OG0000475	14	279
OG0000476	14	1435.342105263158
OG0000477	14	1500
OG0000478	14	399
OG0000479	14	417.39473684210526
OG0000480	14	737.1315789473684
OG0000481	14	833.8421052631579
OG0000482	14	215.68421052631578
OG0000483	14	531.4736842105264
OG0000484	14	429
OG0000485	14	701.8421052631579
OG0000486	14	528.7105263157895
OG0000487	14	4152.1578947368425
OG0000488	14	4212
OG0000489	14	690.5526315789474
OG0000490	14	1420.578947368421
OG0000491	14	279.3157894736842
OG0000492	14	1349.1315789473683
