orthogroup	n
OG0000013	3
OG0000034	3
OG0000067	2
OG0000127	3
OG0000212	3
OG0000231	3
OG0000253	3
OG0000272	3
OG0000289	3
OG0000327	3
OG0000357	3
OG0000363	3
OG0000372	3
OG0000374	3
OG0000378	3
OG0000383	3
OG0000389	3
OG0000393	3
OG0000437	3
OG0000439	3
OG0000451	3
OG0000546	3
OG0000570	3
OG0000576	3
OG0000599	3
OG0000600	3
OG0000610	3
OG0000648	3
OG0000657	3
OG0000663	3
OG0000709	3
OG0000743	3
OG0000790	3
OG0000791	3
OG0000810	3
OG0000914	3
OG0000948	3
OG0000974	3
OG0000983	3
OG0001056	3
OG0001062	3
OG0001134	3
OG0001164	3
OG0001171	3
OG0001200	3
OG0001225	3
OG0001258	2
OG0001423	3
OG0001448	2
OG0001465	3
OG0002097	3
