orthogroup	n	avg_bp_length
OG0000000	12	647.841059602649
OG0000001	8	328.4942528735632
OG0000002	6	308.5833333333333
OG0000003	15	2345.328767123288
OG0000004	50	316.93333333333334
OG0000005	6	950.0981595092024
OG0000006	22	240.80281690140845
OG0000008	12	2787.6875
OG0000009	12	645.1726618705036
OG0000010	18	594.8303571428571
OG0000012	9	228.43636363636364
OG0000013	9	216.13888888888889
OG0000014	3	3195.7128712871286
OG0000016	6	816.4756097560976
OG0000017	4	867.2884615384615
OG0000018	2	670.1684210526316
OG0000019	13	492.2857142857143
OG0000020	5	264.27
OG0000022	6	427.4025974025974
OG0000023	3	430.8
OG0000024	4	200.8181818181818
OG0000025	3	393.17857142857144
OG0000026	3	488.5833333333333
OG0000028	3	941.0506329113924
OG0000029	6	552.5526315789474
OG0000030	6	859.8
OG0000031	3	736.08
OG0000032	5	363.2916666666667
OG0000033	6	752.8815789473684
OG0000034	6	397.3235294117647
OG0000035	7	1700.837837837838
OG0000036	6	482.11764705882354
OG0000037	6	3761.095890410959
OG0000038	6	599.4
OG0000039	3	555
OG0000040	5	464.46774193548384
OG0000041	3	1619.375
OG0000042	7	273.1666666666667
OG0000043	3	1051.142857142857
OG0000044	6	997.5967741935484
OG0000045	6	199.52173913043478
OG0000046	3	1445.4
OG0000047	3	1632
OG0000048	6	1117.5
OG0000049	3	485.19642857142856
OG0000050	6	289
OG0000051	4	138.6086956521739
OG0000052	8	436.2692307692308
OG0000053	2	655.65
OG0000054	4	764.1063829787234
OG0000055	3	2142.1875
OG0000056	6	804.639344262295
OG0000057	6	1280
OG0000058	3	1623.8793103448277
OG0000059	3	216
OG0000060	3	337.3965517241379
OG0000061	2	1290.340909090909
OG0000062	3	2239.6046511627906
OG0000063	3	441.40384615384613
OG0000064	6	814.1162790697674
OG0000065	4	281.53846153846155
OG0000066	5	296.7551020408163
OG0000067	3	444.10714285714283
OG0000068	3	1104.6346153846155
OG0000069	3	1065.5217391304348
OG0000070	3	228.375
OG0000071	3	542.3888888888889
OG0000073	6	407.8775510204082
OG0000074	3	2802.2727272727275
OG0000075	3	966.9230769230769
OG0000076	3	1291.5
OG0000077	3	1078.05
