orthogroup	n	avg_bp_length
OG0000000	185	647.841059602649
OG0000001	198	328.4942528735632
OG0000002	180	308.5833333333333
OG0000003	139	2345.328767123288
OG0000004	103	316.93333333333334
OG0000005	86	950.0981595092024
OG0000006	45	240.80281690140845
OG0000007	59	1026.74
OG0000008	72	2787.6875
OG0000009	72	645.1726618705036
OG0000010	50	594.8303571428571
OG0000011	48	396.1463414634146
OG0000012	57	228.43636363636364
OG0000013	54	216.13888888888889
OG0000014	40	3195.7128712871286
OG0000015	24	484.6774193548387
OG0000016	39	816.4756097560976
OG0000017	62	867.2884615384615
OG0000018	58	670.1684210526316
OG0000019	67	492.2857142857143
OG0000020	63	264.27
OG0000021	49	442.66265060240966
OG0000022	46	427.4025974025974
OG0000023	43	430.8
OG0000024	38	200.8181818181818
OG0000025	51	393.17857142857144
OG0000026	35	488.5833333333333
OG0000027	46	761.1111111111111
OG0000028	39	941.0506329113924
OG0000029	36	552.5526315789474
OG0000030	36	859.8
OG0000031	54	736.08
OG0000032	39	363.2916666666667
OG0000033	36	752.8815789473684
OG0000034	37	397.3235294117647
OG0000035	38	1700.837837837838
OG0000036	38	482.11764705882354
OG0000037	36	3761.095890410959
OG0000038	35	599.4
OG0000039	35	555
OG0000040	36	464.46774193548384
OG0000041	34	1619.375
OG0000042	22	273.1666666666667
OG0000043	36	1051.142857142857
OG0000044	36	997.5967741935484
OG0000045	33	199.52173913043478
OG0000046	32	1445.4
OG0000047	35	1632
OG0000048	24	1117.5
OG0000049	40	485.19642857142856
OG0000050	31	289
OG0000051	36	138.6086956521739
OG0000052	17	436.2692307692308
OG0000053	34	655.65
OG0000054	15	764.1063829787234
OG0000055	36	2142.1875
OG0000056	19	804.639344262295
OG0000057	37	1280
OG0000058	18	1623.8793103448277
OG0000059	11	216
OG0000060	55	337.3965517241379
OG0000061	23	1290.340909090909
OG0000062	24	2239.6046511627906
OG0000063	18	441.40384615384613
OG0000064	20	814.1162790697674
OG0000065	25	281.53846153846155
OG0000066	20	296.7551020408163
OG0000067	36	444.10714285714283
OG0000068	18	1104.6346153846155
OG0000069	36	1065.5217391304348
OG0000070	26	228.375
OG0000071	18	542.3888888888889
OG0000072	35	446.6727272727273
OG0000073	18	407.8775510204082
OG0000074	9	2802.2727272727275
OG0000075	18	966.9230769230769
OG0000076	18	1291.5
OG0000077	21	1078.05
OG0000078	20	318.8666666666667
OG0000079	18	1071.625
OG0000080	28	526.1111111111111
OG0000081	22	305.54347826086956
OG0000082	27	1349.0869565217392
OG0000083	29	302.04
OG0000084	26	930.7826086956521
OG0000085	22	366.25531914893617
OG0000086	20	584.7058823529412
OG0000087	24	1793.3181818181818
OG0000088	19	676.6744186046511
OG0000089	18	461.36170212765956
OG0000090	25	692.4285714285714
OG0000091	17	1183.4571428571428
OG0000092	18	1119.7857142857142
OG0000093	16	267.72972972972974
OG0000094	18	481.14285714285717
OG0000095	26	686.8571428571429
OG0000096	18	460.4634146341463
OG0000097	18	942.2368421052631
OG0000098	21	467.1219512195122
OG0000099	20	460.92857142857144
OG0000100	19	767.9285714285714
OG0000101	18	2113.153846153846
OG0000102	18	455.3333333333333
OG0000103	26	430.3695652173913
OG0000104	18	782.775
OG0000105	18	785.625
OG0000106	18	289.2631578947368
OG0000107	18	5193.976744186047
OG0000108	21	1213.8
OG0000109	27	2634.4285714285716
OG0000110	18	4645.5
OG0000111	18	595.1842105263158
OG0000112	18	1137
OG0000113	18	817.3421052631579
OG0000114	18	2211
OG0000115	18	1490.7631578947369
OG0000116	18	1314.5526315789473
OG0000117	18	1649.7631578947369
OG0000118	18	609
OG0000119	18	1215.3076923076924
OG0000120	18	1203
OG0000121	18	956.4615384615385
OG0000122	18	758.5263157894736
OG0000123	18	702
OG0000124	18	393.3157894736842
OG0000125	18	1567.6153846153845
OG0000126	19	729
OG0000127	18	1611.2368421052631
OG0000128	18	768.2368421052631
OG0000129	18	1316
OG0000130	18	1156.4166666666667
OG0000131	18	792
OG0000132	18	401.5263157894737
OG0000133	18	1581.923076923077
OG0000134	18	730.6153846153846
OG0000135	21	1099.0975609756097
OG0000136	22	796.0769230769231
OG0000137	18	312.7105263157895
OG0000138	18	323.2105263157895
OG0000139	8	144
OG0000140	18	478.6363636363636
OG0000141	21	329.0625
OG0000142	18	826.6578947368421
OG0000143	18	597
OG0000144	18	589.8947368421053
OG0000145	18	708
OG0000146	18	875.6842105263158
OG0000147	18	824.5263157894736
OG0000148	18	510.39473684210526
OG0000149	18	844.2631578947369
OG0000150	18	299.92105263157896
OG0000151	18	643.578947368421
OG0000152	18	590.921052631579
OG0000153	18	796.9736842105264
OG0000154	18	465
OG0000155	18	504.4736842105263
OG0000156	18	1228.1052631578948
OG0000157	18	1576.578947368421
OG0000158	18	323.92105263157896
OG0000159	18	3121.1052631578946
OG0000160	18	2490.5526315789475
OG0000161	18	999
OG0000162	18	1320
OG0000163	18	921
OG0000164	18	1406.1315789473683
OG0000165	18	785.5263157894736
OG0000166	18	1533
OG0000167	18	1964.4473684210527
OG0000168	18	1764.2368421052631
OG0000169	18	747.3947368421053
OG0000170	18	1173
OG0000171	18	1201.1052631578948
OG0000172	18	649.3421052631579
OG0000173	18	1099.7368421052631
OG0000174	18	661.578947368421
OG0000175	18	1784.921052631579
OG0000176	18	723
OG0000177	18	563.2105263157895
OG0000178	18	1893
OG0000179	18	1144.342105263158
OG0000180	18	906
OG0000181	18	915
OG0000182	18	1822.342105263158
OG0000183	18	849
OG0000184	18	866.8421052631579
OG0000185	18	760.8947368421053
OG0000186	18	930
OG0000187	18	528.6315789473684
OG0000188	18	1156.8947368421052
OG0000189	18	588
OG0000190	18	252
OG0000191	18	750.9473684210526
OG0000192	18	207.31578947368422
OG0000193	18	402
OG0000194	18	1084.578947368421
OG0000195	18	2415
OG0000196	18	909
OG0000197	18	831
OG0000198	18	867
OG0000199	18	906
OG0000200	18	357.1578947368421
OG0000201	18	1307.0526315789473
OG0000202	18	1701
OG0000203	18	648
OG0000204	18	1329
OG0000205	18	381
OG0000206	18	2287.4210526315787
OG0000207	18	479.6842105263158
OG0000208	18	697.7368421052631
OG0000209	18	994.8157894736842
OG0000210	18	1211.4473684210527
OG0000211	18	530.5263157894736
OG0000212	18	251.52631578947367
OG0000213	18	758.0526315789474
OG0000214	18	667.1052631578947
OG0000215	18	627.3157894736842
OG0000216	18	2688
