orthogroup	n
OG0000012	2
OG0000118	3
OG0000191	3
OG0000212	3
OG0000250	3
OG0000283	3
OG0000315	3
OG0000363	3
OG0000367	3
OG0000412	3
OG0000423	3
OG0000439	3
OG0000446	3
OG0000469	3
OG0000490	3
OG0000503	3
OG0000544	3
OG0000546	3
OG0000599	3
OG0000618	3
OG0000657	3
OG0000698	2
OG0000719	3
OG0000743	3
OG0000756	3
OG0000789	3
OG0000790	3
OG0000892	3
OG0000923	3
OG0000968	3
OG0000979	3
OG0000987	3
OG0000993	3
OG0001012	3
OG0001042	3
OG0001056	3
OG0001083	3
OG0001111	3
OG0001113	3
OG0001157	3
OG0001164	3
OG0001198	3
OG0001200	3
OG0001259	3
OG0001522	2
OG0001537	3
OG0001942	3
OG0001959	3
