orthogroup,species,locus_tag,gene_position,base_length,gene,product,bp_length
OG0000986,Bartonella_bovis_91-4,BBBE_RS00690,NA,NA,,PhoH family protein,1122
OG0000986,Bartonella_elizabethae_NCTC12898,EL285_RS00590,1083,A9,,PhoH family protein,1137
OG0000986,Bartonella_gerbillinarum_FN71,IPKPMCFA_00397,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE1-2_A1,NGMDFPDP_01051,NA,NA,,PhoH-like protein,1089
OG0000986,Bartonella_gerbillinarum_OE1-2_A2,DCJOKJGC_00926,NA,NA,,PhoH-like protein,1089
OG0000986,Bartonella_gerbillinarum_OE1-2_B1,PEOOCOEB_01043,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE1-2_B2,MHFFGBDM_01100,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE1-2_B3,EPECHDMP_00845,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE1-2_C,EMBLIICP_01044,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE3-1_A,OIDCCKFD_00986,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE3-1_B1,CAHOLCOL_00957,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE3-1_B2,GCDFGLPA_00985,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE3-1_B3,IHHODCJK_00673,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE3-1_B4,MJAEBMJE_00883,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE3-1_B5,JPLDOKKC_00858,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_gerbillinarum_OE3-1_C,NMIIJIPG_00837,NA,NA,,PhoH-like protein,1110
OG0000986,Bartonella_grahamii_as4aup,BGR_RS01170,1071,A9,,PhoH family protein,1125
OG0000986,Bartonella_henselae_BM1374163,PRJBM_RS01110,NA,NA,,PhoH family protein,1101
OG0000986,Bartonella_khokhlovae_OE5-1_A,BMMGAKCC_00974,NA,NA,ybeZ,PhoH-like protein,1125
OG0000986,Bartonella_khokhlovae_OE5-1_B,FGBOIPEM_00880,NA,NA,ybeZ,PhoH-like protein,1125
OG0000986,Bartonella_khokhlovae_OE5-1_C,OGFLLMDA_00896,NA,NA,ybeZ,PhoH-like protein,1125
OG0000986,Bartonella_krasnovii_FN12-1,EMOIKDEC_00454,1104,A9,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_A1,JEMLOCML_00687,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_A2,CNPEIIHJ_00325,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_A3,FNJMBGLL_00694,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_A4,KJGNIHHA_00074,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_A5,ELDOKPEM_00555,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_B,BOFBMHLF_00324,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_C1,LKICNHNN_01126,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_C2,NGJGDJAJ_00583,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_C3,MOMDPIKI_00638,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_D1,CHDJJCHF_00499,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_D2,GCOMBPFH_00323,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_D3,JGDFGBJJ_00323,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_D4,GFDDFGGD_00608,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_D5,BINCMBPP_01571,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_G,DJDNEOMB_00891,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OE1-1_H,GMAGJBIB_00074,NA,NA,,PhoH-like protein,1158
OG0000986,Bartonella_krasnovii_OY11,PDPJCBEH_00265,1107,A9,,hypothetical protein,1161
OG0000986,Bartonella_negeviensis_ga95fn6_A,KLALJOCO_01165,NA,NA,ybeZ,PhoH-like protein,1089
OG0000986,Bartonella_negeviensis_ga95fn6_B,IPPNIHCA_00943,NA,NA,ybeZ,PhoH-like protein,1089
OG0000986,Bartonella_negeviensis_ga95fn6_C,IMMEILNN_00841,NA,NA,ybeZ,PhoH-like protein,1089
OG0000986,Bartonella_queenslandensis_AUST-NH15,NA,NA,NA,NA,NA,NA
OG0000986,Bartonella_quintana_MF1-1,MF1_RS01055,NA,NA,,PhoH family protein,1110
OG0000986,Bartonella_rattaustraliani_AUST-NH4,BN67_RS00460,NA,NA,,PhoH family protein,1104
OG0000986,Bartonella_tribocorum_BM1374166,BM1374166_RS01145,NA,NA,,PhoH family protein,1134
