orthogroup,gene,product,avg_bp_length
OG0000000,lpxD_2; lpxD_3; lpxD_4; lpxD_5; lpxD_1,hypothetical protein; UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase; phage related protein; polymer-forming cytoskeletal protein,634.8986175115207
OG0000001,,helix-turn-helix domain-containing protein; helix-turn-helix transcriptional regulator; hypothetical protein,336.0960960960961
OG0000002,,EexN family lipoprotein; hypothetical protein,310.5248447204969
OG0000003,,DEAD/DEAH box helicase family protein; hypothetical protein; restriction endonuclease; N-6 DNA methylase,2350.4836363636364
OG0000004,trwL; trwL1; trwL2; trwL3; trwL4; trwL5; trwL6; trwL7,VirB2 family type IV secretion system major pilin TrwL; hypothetical protein; VirB2 family type IV secretion system major pilin TrwL1; VirB2 family type IV secretion system major pilin TrwL2; VirB2 family type IV secretion system major pilin TrwL3; VirB2 family type IV secretion system major pilin TrwL4; VirB2 family type IV secretion system major pilin TrwL5; VirB2 family type IV secretion system major pilin TrwL6; VirB2 family type IV secretion system major pilin TrwL7,317.003861003861
OG0000005,intA_1; intA_2; intA_3; intA_4; intA_5; intS; intA; intA_6,integrase arm-type DNA-binding domain-containing protein; site-specific integrase; hypothetical protein; Prophage integrase IntA; Prophage integrase IntS; tyrosine-type recombinase/integrase; Arm DNA-binding domain-containing protein; integrase,958.6553398058253
OG0000006,,hypothetical protein; DUF4102 domain-containing protein; Arm DNA-binding domain-containing protein; integrase arm-type DNA-binding domain-containing protein; integrase,229.82386363636363
OG0000007,cdiA; cdiA_1; cdiA_2,hypothetical protein; 16S rRNA endonuclease CdiA; Deoxyribonuclease CdiA; hemagglutinin repeat-containing protein; filamentous hemagglutinin N-terminal domain-containing protein; filamentous hemagglutinin,1370.3103448275863
OG0000008,,autotransporter outer membrane beta-barrel domain-containing protein; hypothetical protein,2751.433526011561
OG0000009,,lysozyme; hypothetical protein; glycoside hydrolase family protein,648.5470588235294
OG0000010,,antA/AntB antirepressor family protein; phage regulatory protein/antirepressor Ant; hypothetical protein; phage antirepressor Ant; Rha family transcriptional regulator; phage antirepressor KilAC domain-containing protein,616.2893081761006
OG0000011,,hypothetical protein,398.28476821192055
OG0000012,,hypothetical protein,227.6510067114094
OG0000013,,hypothetical protein; membrane protein,217.4890510948905
OG0000014,badA_1; badA_3; badA_2; badA_4; badA_5; badA_6; badA_7; badA,YadA-like family protein; Vomp family autotransporter; Autotransporter adhesin BadA; hypothetical protein; YadA C-terminal domain-containing protein,3408.392307692308
OG0000015,,SMI1/KNR4 family protein; hypothetical protein,492.384
OG0000016,,DUF1376 domain-containing protein; YdaU family protein; hypothetical protein,790.9338842975206
OG0000017,,hypothetical protein; YfjI family protein; DUF3987 domain-containing protein,860.4793388429752
OG0000018,virB5; virB5_1; virB5_2,conjugal transfer protein TrwJ; hypothetical protein; Type IV secretion system protein virB5; conjugal transfer protein,692.3076923076923
OG0000019,,hypothetical protein; toprim domain-containing protein,507.8
OG0000020,ybaQ; higA_2; higA; higA_1; higA-1,HigA family addiction module antitoxin; hypothetical protein; putative HTH-type transcriptional regulator YbaQ; Antitoxin HigA; Antitoxin HigA-1,266.04545454545456
OG0000021,dpnM,hypothetical protein; DNA adenine methylase; Modification methylase DpnIIA,489.962962962963
OG0000022,,hypothetical protein,415.53061224489795
OG0000023,ssb; ssb_1; ssb_2; ssb_3; ssb_4,single-stranded DNA-binding protein; Single-stranded DNA-binding protein,431.8041237113402
OG0000024,,DNA-binding protein; hypothetical protein,200.8762886597938
OG0000025,,hypothetical protein,399.1546391752577
OG0000026,,hypothetical protein,494.5806451612903
OG0000027,yopJ_2; yopJ_3; yopJ_1; yopJ; yopJ_4; yopJ_5; yopJ_6; yopJ_7,YopJ/AvrA family T3SS effector serine/threonine acetyltransferase; Effector protein YopJ; hypothetical protein,783.9677419354839
OG0000028,,hypothetical protein,927.6195652173913
OG0000029,ppiB_1; ppiB_2; ppiB,peptidylprolyl isomerase; Peptidyl-prolyl cis-trans isomerase B; hypothetical protein,552.3333333333334
OG0000030,,porin family protein; hypothetical protein; porin,850.9333333333333
OG0000031,xerC_1; xerC_2; xerC; xerC_3,tyrosine-type recombinase/integrase; hypothetical protein; Tyrosine recombinase XerC,739.9
OG0000032,,hypothetical protein,364.60674157303373
OG0000033,argT_1; argT_2,transporter substrate-binding domain-containing protein; Lysine/arginine/ornithine-binding periplasmic protein,753.1348314606741
OG0000034,,hypothetical protein,393.9310344827586
OG0000035,,phage portal protein; hypothetical protein,1725.6206896551723
OG0000036,,helix-turn-helix domain-containing protein; hypothetical protein; helix-turn-helix transcriptional regulator,474.7471264367816
OG0000037,bafA,BafA family autotransporter; hypothetical protein; autotransporter outer membrane beta-barrel domain-containing protein,3699.2441860465115
OG0000038,,YqaJ viral recombinase family protein; hypothetical protein,599.9764705882353
OG0000039,bioY_1; bioY_2; bioY,biotin transporter BioY; Biotin transporter BioY,546.0117647058823
OG0000040,,hypothetical protein; phage related protein,467.17857142857144
OG0000041,ddpA_2; ddpA_4; ddpA_1; ddpA_3; ddpA_5,"ABC transporter substrate-binding protein; putative D,D-dipeptide-binding periplasmic protein DdpA",1619.4880952380952
OG0000042,,hypothetical protein,275.7692307692308
OG0000043,virB11,P-type DNA transfer ATPase VirB11; Type IV secretion system protein VirB11,1052.8266666666666
OG0000044,,phage tail protein; hypothetical protein,998.5945945945946
OG0000045,,hypothetical protein,199.45833333333334
OG0000046,radA_1; dnaC; dnaC_1; dnaC_2; dnaC_3,replicative DNA helicase; DNA repair protein RadA; Replicative DNA helicase; hypothetical protein,1437.5070422535211
OG0000047,ddpA_1; ddpA_3; ddpA_5; dppA; ddpA_2; ddpA_4,"ABC transporter substrate-binding protein; putative D,D-dipeptide-binding periplasmic protein DdpA; Periplasmic dipeptide transport protein",1632
OG0000048,gpFI; gpFI_1; gpFI_2; gpFI_3,phage tail sheath subtilisin-like domain-containing protein; Putative prophage major tail sheath protein; hypothetical protein,1144.3714285714286
OG0000049,,hypothetical protein; phage late control protein,589.5857142857143
OG0000050,,hypothetical protein,285.2608695652174
OG0000051,,hypothetical protein,138.6086956521739
OG0000052,,antA/AntB antirepressor family protein; hypothetical protein; phage antirepressor Ant,439.44117647058823
OG0000053,,MFS transporter; hypothetical protein,662.4264705882352
OG0000054,virB6_3; virB6_4; virB6_1; virB6_2; trwI,type IV secretion system protein; hypothetical protein; Type IV secretion system protein VirB6; type IV secrection system protein TrwI,791.2388059701492
OG0000055,,autotransporter outer membrane beta-barrel domain-containing protein; hypothetical protein,2272.8307692307694
OG0000056,,MFS transporter; hypothetical protein,830.8615384615384
OG0000057,kgtP_2; kgtP_3; kgtP_1,MFS family transporter; Alpha-ketoglutarate permease,1281.796875
OG0000058,bepA_2; bepA_3; bepA_4; bepA; bepA_5; bepA_6; bepA_7; bepA_8; bepA_9; bepA_10,BID domain-containing T4SS effector; Protein adenylyltransferase; T4SS effector adenylyltransferase BepA,1611.984375
OG0000059,,hypothetical protein,215.1904761904762
OG0000060,,hypothetical protein,336.4761904761905
OG0000061,,hypothetical protein; phage tail protein,1284.5967741935483
OG0000062,,DUF4815 domain-containing protein; hypothetical protein,2291.516129032258
OG0000063,,hypothetical protein,444.7258064516129
OG0000064,,baseplate J/gp47 family protein; hypothetical protein,807.2950819672132
OG0000065,,transcriptional regulator; hypothetical protein; helix-turn-helix domain-containing protein; helix-turn-helix transcriptional regulator,293.2950819672131
OG0000066,,putative addiction module antidote protein; hypothetical protein,297.8
OG0000067,,hypothetical protein,451.95
OG0000068,,BID domain-containing T4SS effector; hypothetical protein,1099.677966101695
OG0000069,,TIGR04086 family membrane protein; hypothetical protein; DUF3792 family protein; YrzE family protein,1059.2068965517242
OG0000070,,hypothetical protein,230.1206896551724
OG0000071,,hypothetical protein,543.3103448275862
OG0000072,,hypothetical protein; ThiF family adenylyltransferase,462.51724137931035
OG0000073,,TM2 domain-containing protein; hypothetical protein; NINE protein,406.5964912280702
OG0000074,,autotransporter outer membrane beta-barrel domain-containing protein; hypothetical protein,2838.719298245614
OG0000075,,DUF2087 domain-containing protein; hypothetical protein; class I SAM-dependent methyltransferase,802.1052631578947
OG0000076,,BID domain-containing T4SS effector; hypothetical protein,1297.7894736842106
OG0000077,,phage tail protein; hypothetical protein,1090.0714285714287
OG0000078,,type II toxin-antitoxin system RelE/ParE family toxin; hypothetical protein,316.07142857142856
OG0000079,glmM; glmM_1; glmM_2,phosphoglucosamine mutase; Phosphoglucosamine mutase; hypothetical protein,1092.642857142857
OG0000080,tam,class I SAM-dependent methyltransferase; hypothetical protein; Trans-aconitate 2-methyltransferase; methyltransferase domain-containing protein,535.0714285714286
OG0000081,,hypothetical protein,310.23214285714283
OG0000082,,hypothetical protein,1350.642857142857
OG0000083,,hypothetical protein,302.4642857142857
OG0000084,,hypothetical protein; phage tail protein,923.3454545454546
OG0000085,,hypothetical protein,358.6363636363636
OG0000086,,hypothetical protein; HrgA protein,591.1666666666666
OG0000087,,toprim domain-containing protein; hypothetical protein; bifunctional DNA primase/helicase; AAA family ATPase,1828.301886792453
OG0000088,,ERF family protein; hypothetical protein,698.8679245283018
OG0000089,,hypothetical protein,455.59615384615387
OG0000090,,transglycosylase SLT domain-containing protein; hypothetical protein,689.3653846153846
OG0000091,,hypothetical protein; phage tail tape measure protein,1303.7307692307693
OG0000092,,N4-gp56 family major capsid protein; hypothetical protein; DUF4043 family protein,1106.4313725490197
