orthogroup	n
OG0000001	3
OG0000003	6
OG0000008	15
OG0000011	3
OG0000018	2
OG0000032	9
OG0000034	17
OG0000058	16
OG0000072	6
OG0000085	5
OG0000087	3
OG0000099	2
OG0000107	17
OG0000253	17
OG0000283	17
OG0000315	16
OG0000386	17
OG0000447	10
OG0000491	16
OG0000501	16
OG0000503	17
OG0000581	2
OG0000599	17
OG0000601	5
OG0000617	16
OG0000648	17
OG0000659	17
OG0000719	16
OG0000736	6
OG0000789	17
OG0000803	14
OG0000844	17
OG0000866	17
OG0000892	16
OG0000952	16
OG0000957	12
OG0000982	17
OG0000987	9
OG0000991	16
OG0001030	17
OG0001033	17
OG0001041	17
OG0001053	16
OG0001056	17
OG0001062	17
OG0001151	16
OG0001164	17
OG0001181	17
OG0001195	3
OG0001202	8
OG0001255	2
OG0001261	17
OG0001265	2
OG0001368	7
OG0001381	11
OG0001423	17
OG0001425	5
OG0001448	5
OG0001466	2
OG0001520	3
OG0001676	2
OG0001825	3
OG0001841	6
OG0001995	3
OG0001996	3
OG0002329	2
